Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-07-03,2014,7,3,Thursday,26,2014-26,334.83,338.3,333.08,337.49,1944300,337.49,0.013940165377122948,328.245,314.4574000000004
2014-07-07,2014,7,7,Monday,27,2014-27,337.5,337.55,332.52,333.55,2128900,333.55,-0.011674427554636657,328.66857142857145,314.38540000000035
2014-07-08,2014,7,8,Tuesday,27,2014-27,333.1,333.74,321.4,323.81,4271600,323.81,-0.02920099112826391,328.53928571428577,314.78500000000037
2014-07-09,2014,7,9,Wednesday,27,2014-27,324.71,330.2,323.15,329.97,3166100,329.97,0.019023512888896255,328.2242857142858,315.45280000000037
2014-07-10,2014,7,10,Thursday,27,2014-27,324.34,329.98,322.65,327.92,2665000,327.92,-0.006212648984407543,328.2900000000001,316.00360000000035
2014-07-11,2014,7,11,Friday,27,2014-27,334.71,347.0,334.71,346.2,8300800,346.2,0.055745297727384235,329.8614285714287,316.8450000000004
2014-07-14,2014,7,14,Monday,28,2014-28,347.03,355.77,345.36,355.32,5609900,355.32,0.026343139213217626,331.86714285714294,317.7936000000004
2014-07-15,2014,7,15,Tuesday,28,2014-28,353.72,355.59,349.4,354.44,4170900,354.44,-0.002476654465476069,334.0300000000001,318.7222000000004
2014-07-16,2014,7,16,Wednesday,28,2014-28,355.62,359.32,353.0,355.9,3503600,355.9,0.004119149771531383,336.06285714285724,319.6392000000004
2014-07-17,2014,7,17,Thursday,28,2014-28,353.44,356.96,351.38,352.45,3636000,352.45,-0.009693682912668367,337.9742857142858,320.7406000000004
2014-07-18,2014,7,18,Friday,28,2014-28,354.4,359.68,352.08,358.66,3407400,358.66,0.017619495644762173,340.40928571428583,322.0596000000005
2014-07-21,2014,7,21,Monday,29,2014-29,358.1,361.71,356.72,359.76,2278400,359.76,0.0030669884912841727,342.90785714285727,323.48840000000047
2014-07-22,2014,7,22,Tuesday,29,2014-29,355.25,362.93,355.25,360.84,2888900,360.84,0.00300196392859009,344.9400000000001,324.8604000000005
2014-07-23,2014,7,23,Wednesday,29,2014-29,359.05,360.63,356.62,358.14,2687300,358.14,-0.007482490069989023,346.7464285714287,325.9660000000005
2014-07-24,2014,7,24,Thursday,29,2014-29,359.98,364.85,358.52,358.61,7088700,358.61,0.0013122541014758404,348.2550000000001,327.04540000000054
2014-07-25,2014,7,25,Friday,29,2014-29,317.3,324.87,314.76,324.01,17846500,324.01,-0.09648358104701826,347.57357142857154,327.5732000000005
2014-07-28,2014,7,28,Monday,30,2014-30,324.25,324.82,316.5,320.41,5932000,320.41,-0.01111078668871901,347.33071428571435,328.07760000000053
2014-07-29,2014,7,29,Tuesday,30,2014-30,321.98,322.9,319.5,320.0,2883800,320.0,-0.0012796219138705434,346.6185714285715,328.5236000000005
2014-07-30,2014,7,30,Wednesday,30,2014-30,321.45,322.73,318.5,322.51,3969000,322.51,0.00784378051757817,346.23214285714295,329.03860000000054
2014-07-31,2014,7,31,Thursday,30,2014-30,320.01,320.68,311.86,312.99,5192000,312.99,-0.029518524210049857,343.86000000000007,329.2746000000006
2014-08-01,2014,8,1,Friday,30,2014-30,313.69,315.83,304.59,307.06,7441500,307.06,-0.018946269404145233,340.41285714285726,329.31560000000064
2014-08-04,2014,8,4,Monday,31,2014-31,308.84,316.18,308.5,313.65,4200900,313.65,0.021461591839663452,337.4992857142858,329.49040000000065
2014-08-05,2014,8,5,Tuesday,31,2014-31,313.3,314.55,310.06,312.32,2852100,312.32,-0.004240352616440846,334.38642857142867,329.49200000000064
2014-08-06,2014,8,6,Wednesday,31,2014-31,310.83,315.78,310.2,313.89,2296900,313.89,0.0050269188249247865,331.63214285714304,329.55340000000064
2014-08-07,2014,8,7,Thursday,31,2014-31,315.21,315.88,309.65,311.45,2935600,311.45,-0.007773431226027028,328.26000000000016,329.57920000000064
2014-08-08,2014,8,8,Friday,31,2014-31,311.94,317.32,310.66,316.8,2705900,316.8,0.01717763806790673,325.19142857142873,329.63960000000066
2014-08-11,2014,8,11,Monday,32,2014-32,318.48,320.38,316.88,318.33,2468600,318.33,0.004829541787409131,322.15500000000014,329.7552000000007
2014-08-12,2014,8,12,Tuesday,32,2014-32,318.89,321.31,316.95,319.32,1915800,319.32,0.0031100455304684527,319.3821428571429,329.9648000000007
2014-08-13,2014,8,13,Wednesday,32,2014-32,327.6,331.72,326.14,326.28,4939100,326.28,0.021796289914309597,317.07285714285723,330.3466000000007
2014-08-14,2014,8,14,Thursday,32,2014-32,327.8,334.09,326.71,333.21,3420400,333.21,0.021239403891468278,317.7300000000001,330.8752000000007
2014-08-15,2014,8,15,Friday,32,2014-32,334.0,335.0,328.32,333.63,3896700,333.63,0.0012605067029960448,318.6742857142858,331.0764000000007
2014-08-18,2014,8,18,Monday,33,2014-33,335.48,337.8,333.77,334.53,2485400,334.53,0.0026975808030231807,319.71214285714296,331.17360000000076
2014-08-19,2014,8,19,Tuesday,33,2014-33,334.87,335.81,333.01,335.13,1713800,335.13,0.0017935793671870481,320.6135714285715,331.32620000000077
2014-08-20,2014,8,20,Wednesday,33,2014-33,334.68,337.16,334.02,335.78,1810500,335.78,0.0019395276072391443,322.2414285714286,331.39360000000073
2014-08-21,2014,8,21,Thursday,33,2014-33,336.48,336.58,332.23,332.91,1971100,332.91,-0.008547248578298694,324.08785714285716,331.3478000000007
2014-08-22,2014,8,22,Friday,33,2014-33,332.99,334.08,330.8,331.59,2211200,331.59,-0.003965057552186124,325.3692857142858,331.4614000000007
2014-08-25,2014,8,25,Monday,34,2014-34,333.21,336.77,332.71,334.02,1957700,334.02,0.007328305143756708,326.91928571428576,331.61640000000074
2014-08-26,2014,8,26,Tuesday,34,2014-34,337.0,344.36,334.55,341.83,3654700,341.83,0.023381826883043466,328.915,331.9006000000008
2014-08-27,2014,8,27,Wednesday,34,2014-34,342.09,346.67,341.34,343.18,2961600,343.18,0.003949349549619452,331.1814285714286,332.2518000000008
2014-08-28,2014,8,28,Thursday,34,2014-34,340.0,341.79,338.8,340.02,2252700,340.02,-0.009208006671574176,332.8400000000001,332.3646000000008
2014-08-29,2014,8,29,Friday,34,2014-34,341.76,341.82,337.68,339.04,1939500,339.04,-0.002882126052626277,334.3192857142858,332.6054000000008
2014-09-02,2014,9,2,Tuesday,35,2014-35,339.98,342.5,337.16,342.38,2326000,342.38,0.009851333924350447,335.9664285714287,332.9690000000008
2014-09-03,2014,9,3,Wednesday,35,2014-35,342.54,343.27,337.55,339.0,1993700,339.0,-0.009872086087414411,336.8750000000001,333.2042000000008
2014-09-04,2014,9,4,Thursday,35,2014-35,343.69,349.38,343.58,345.95,3965600,345.95,0.020501510935195366,337.78500000000014,333.6400000000008
2014-09-05,2014,9,5,Friday,35,2014-35,346.3,346.83,342.5,346.38,2107000,346.38,0.0012429329689513935,338.6957142857144,334.01880000000085
2014-09-08,2014,9,8,Monday,36,2014-36,344.54,345.81,339.04,342.34,2955300,342.34,-0.011663515468477104,339.25357142857155,334.3518000000009
2014-09-09,2014,9,9,Tuesday,36,2014-36,341.61,341.76,329.18,329.75,4646800,329.75,-0.036776293955043005,338.86928571428587,334.4554000000009
2014-09-10,2014,9,10,Wednesday,36,2014-36,334.3,334.98,328.82,331.33,3797400,331.33,0.004791467997772969,338.55142857142874,334.58640000000094
2014-09-11,2014,9,11,Thursday,36,2014-36,329.94,333.01,326.39,330.52,2720200,330.52,-0.002444685333113039,338.3807142857144,334.54900000000094
2014-09-12,2014,9,12,Friday,36,2014-36,329.56,332.89,328.79,331.19,3429300,331.19,0.00202714949172611,338.35214285714295,334.515800000001
2014-09-15,2014,9,15,Monday,37,2014-37,330.91,331.33,319.0,323.89,4000400,323.89,-0.022041691292478682,337.6285714285715,334.24380000000093
2014-09-16,2014,9,16,Tuesday,37,2014-37,321.07,329.48,320.1,327.76,3259900,327.76,0.011948485418385335,336.62357142857155,334.1280000000009
2014-09-17,2014,9,17,Wednesday,37,2014-37,327.76,328.0,321.52,324.0,4136000,324.0,-0.011471838093712883,335.2535714285715,334.13180000000085
2014-09-18,2014,9,18,Thursday,37,2014-37,325.44,327.1,323.71,325.0,2576900,325.0,0.0030864197530864335,334.1807142857143,334.03240000000085
2014-09-19,2014,9,19,Friday,37,2014-37,327.6,332.76,325.57,331.32,6886200,331.32,0.019446176382211577,333.62928571428574,334.1004000000009
